Software_Category;Software_CategoryLabel;num_software;subclass of 
http://www.wikidata.org/entity/Q1254596;software as a service;108;economic activity, business model
http://www.wikidata.org/entity/Q726761;HTML editor;53;editor
http://www.wikidata.org/entity/Q1531370;outliner;4;editor
http://www.wikidata.org/entity/Q131212;text editor;255;editor, application
http://www.wikidata.org/entity/Q758870;digital audio editor;51;editor, audio software
http://www.wikidata.org/entity/Q99263266;anti-plagiarism software;2;educational software
http://www.wikidata.org/entity/Q6078050;Q6078050;1;educational software
http://www.wikidata.org/entity/Q63951851;computer-assisted learning;0;educational software
http://www.wikidata.org/entity/Q21570197;typing tutor;12;educational software, application
http://www.wikidata.org/entity/Q569915;mail delivery agent;3;e-mail server
http://www.wikidata.org/entity/Q52229854;Android emulator;3;emulator
http://www.wikidata.org/entity/Q1071233;terminal emulator;44;emulator, terminal client
http://www.wikidata.org/entity/Q228323;conditional access system;0;encryption software
http://www.wikidata.org/entity/Q5282311;disk encryption software;18;encryption software , privacy software
http://www.wikidata.org/entity/Q7606662;steganography tool;2;encryption software , privacy software
http://www.wikidata.org/entity/Q1344636;Enterprise Content Management system;20;enterprise software
http://www.wikidata.org/entity/Q4856363;Banking software;1;enterprise software
http://www.wikidata.org/entity/Q2158576;orthodox file manager;23;file manager , application
http://www.wikidata.org/entity/Q29642842;e-book reader software;15;file viewer
http://www.wikidata.org/entity/Q137742;Autoresponder;0;firewall
http://www.wikidata.org/entity/Q205020;desktop environment;49;graphical user interface ( part of : OS)
http://www.wikidata.org/entity/Q1190017;windowing system;19;graphical user interface gui
http://www.wikidata.org/entity/Q229371;3D computer graphics software;63;graphics software
http://www.wikidata.org/entity/Q860760;image organizer;15;graphics software
http://www.wikidata.org/entity/Q15623421;image processing software;13;graphics software
http://www.wikidata.org/entity/Q100744571;rendering software;10;graphics software
http://www.wikidata.org/entity/Q762157;scenery generator;2;graphics software
http://www.wikidata.org/entity/Q105044723;pixel-art editor;1;graphics software
http://www.wikidata.org/entity/Q2351962;raster graphics editor;147;graphics software , computer-aided design software
http://www.wikidata.org/entity/Q1155404;vector graphics editor;63;graphics software , editor
http://www.wikidata.org/entity/Q15590034;plotting software;4;graphics software , science software
http://www.wikidata.org/entity/Q29364197;desktop publishing software;8;graphics software, publishing software,editor
http://www.wikidata.org/entity/Q860737;photo slideshow software;0;image viewer
http://www.wikidata.org/entity/Q96313657;booru software;6;imageboard software
http://www.wikidata.org/entity/Q591919;JavaScript engine;15;implementation of a programming language
http://www.wikidata.org/entity/Q4462013;translator;5;implementation of a programming language
http://www.wikidata.org/entity/Q10417670;IRC client;54;instant messaging client
http://www.wikidata.org/entity/Q1187338;video game bot;2;internet bot
http://www.wikidata.org/entity/Q91267365;imageboard software;14;Internet forum software
http://www.wikidata.org/entity/Q26921434;anti-rootkit software;6;intrusion detection system, computer security software
http://www.wikidata.org/entity/Q24789150;JavaScript framework;18;JavaScript library
http://www.wikidata.org/entity/Q485;computer virus;82;malware
http://www.wikidata.org/entity/Q14644;spyware;10;malware
http://www.wikidata.org/entity/Q3552754;Disk utility;1;malware
http://www.wikidata.org/entity/Q2072225;human resource management system;1;management system
http://www.wikidata.org/entity/Q131093;content management system;300;management system,  computer program
http://www.wikidata.org/entity/Q830340;computer algebra system;46;mathematical software
http://www.wikidata.org/entity/Q74086777;numerical software;36;mathematical software
http://www.wikidata.org/entity/Q13199995;statistical package;15;mathematical software
http://www.wikidata.org/entity/Q7554269;software calculator;12;mathematical software
http://www.wikidata.org/entity/Q1345429;formula editor;8;mathematical software
http://www.wikidata.org/entity/Q1440548;Fractal-generating software;1;mathematical software
http://www.wikidata.org/entity/Q15562063;audio software;15;multimedia software
http://www.wikidata.org/entity/Q2522958;video software;2;multimedia software
http://www.wikidata.org/entity/Q66088840;audio processor;1;multimedia software
http://www.wikidata.org/entity/Q210337;media player software;72;multimedia software, 
http://www.wikidata.org/entity/Q1153924;DJ software;3;music software
http://www.wikidata.org/entity/Q64601;scorewriter;29;music software , editor
http://www.wikidata.org/entity/Q1077480;hypervisor;35;operating system
http://www.wikidata.org/entity/Q107110391;Unix printing architecture;4;operating system component
http://www.wikidata.org/entity/Q816659;notification area;1;operating system component
http://www.wikidata.org/entity/Q21577192;BitTorrent client;58;peer-to-peer software , client, application
http://www.wikidata.org/entity/Q1568118;personal information manager;17;personal organizer, application
http://www.wikidata.org/entity/Q107110354;printing architecture;0;printing software
http://www.wikidata.org/entity/Q5375622;encryption software;42;privacy software
http://www.wikidata.org/entity/Q467707;software development kit;53;programming tool
http://www.wikidata.org/entity/Q193231;debugger;36;programming tool
